geneID	OZ_NFP_2_fat	OZ_NFP_5_gland	OZ_NFP_2_gland	OZ_NFP_1_ovary	OZ_NFP_2_ovary	OZ_NFP_3_ovary	OZ_NFP_4_ovary	OZ_NFP_5_ovary	OZ_NFP_6_ovary	OZ_NFP_1_uterus	OZ_NFP_2_uterus	OZ_NFP_3_uterus	OZ_NFP_4_uterus	OZ_NFP_5_uterus	OZ_NFP_6_uterus	OZ_1_brain	OZ_1_testis	OZ_2_brain	OZ_2_testis	OZ_3_brain	OZ_3_testis	OZ_NFP_1_brain	OZ_NFP_1_eyeball	OZ_NFP_1_fat	OZ_NFP_1_gland	OZ_NFP_1_heart	OZ_NFP_1_kidney	OZ_NFP_1_liver	OZ_NFP_1_lung	OZ_NFP_1_muscle	OZ_NFP_1_spleen	OZ_NFP_1_testis	OZ_NFP_2_brain	OZ_NFP_2_eyeball	OZ_NFP_2_heart	OZ_NFP_2_kidney	OZ_NFP_2_liver	OZ_NFP_2_lung	OZ_NFP_2_muscle	OZ_NFP_2_spleen	OZ_NFP_2_testis	OZ_NFP_3_brain	OZ_NFP_3_eyeball	OZ_NFP_3_fat	OZ_NFP_3_gland	OZ_NFP_3_heart	OZ_NFP_3_kidney	OZ_NFP_3_liver	OZ_NFP_3_lung	OZ_NFP_3_muscle	OZ_NFP_3_spleen	OZ_NFP_3_testis	OZ_NFP_4_brain	OZ_NFP_4_eyeball	OZ_NFP_4_fat	OZ_NFP_4_gland	OZ_NFP_4_heart	OZ_NFP_4_kidney	OZ_NFP_4_liver	OZ_NFP_4_lung	OZ_NFP_4_muscle	OZ_NFP_4_spleen	OZ_NFP_4_testis	OZ_NFP_5_brain	OZ_NFP_5_eyeball	OZ_NFP_5_fat	OZ_NFP_5_heart	OZ_NFP_5_kidney	OZ_NFP_5_liver	OZ_NFP_5_lung	OZ_NFP_5_muscle	OZ_NFP_5_spleen	OZ_NFP_5_testis	OZ_NFP_6_brain	OZ_NFP_6_eyeball	OZ_NFP_6_fat	OZ_NFP_6_gland	OZ_NFP_6_heart	OZ_NFP_6_kidney	OZ_NFP_6_liver	OZ_NFP_6_lung	OZ_NFP_6_muscle	OZ_NFP_6_spleen	OZ_NFP_6_testis
miRNA_00001	4175.250114	25110.30469	19728.74709	28.67448139	281.1491079	3024.163319	4082.13031	2654.067159	3972.350571	1932.727307	1315.460939	401.2839286	4638.032335	2629.169383	2928.539261	1516.865554	6.911744371	2731.592254	8.574100726	1522.047848	9.554733312	2725.966313	4701.950275	2682.495263	12357.87105	1170.845717	76.13508965	10987.20384	26075.84473	172.0098876	20956.42575	4.259104381	1856.182899	4706.09382	19813.20005	0.369411135	17073.55214	28538.06462	3403.289575	11473.82617	5.09247588	2051.672657	4053.874011	14.85427269	170.9094799	1551.656732	49.95586661	15426.208	22248.77233	80.97504068	24094.03164	7.213768006	1442.957427	4843.548425	5251.875366	163.4071495	2146.358219	0.805936456	20747.30024	19330.52825	530.5234171	14716.25672	8.352650786	1173.236728	5963.988625	179.9373443	2536.099266	0.724228991	13634.69204	20044.78518	12493.28196	16762.2478	120.6752417	2595.441769	3996.76342	753.7032899	3280.918403	4119.030571	0.863923573	14636.38521	13685.27602	583.9139734	14374.60147	1.845818409
miRNA_00002	2374.232677	20339.16335	9345.027951	2144.627256	1268.124585	4443.209025	3765.460415	2427.033038	5304.576347	2553.782524	2023.810325	3843.157252	4409.537834	3632.553862	2709.004113	919.0774329	20.96532208	719.4424502	49.79655209	276.680233	30.68407722	886.0963239	1260.031062	3342.930399	9158.177014	2176.144398	6898.967404	3868.193076	3964.134524	430.7352668	3019.915195	1018.150391	1486.72082	10.78429539	2046.564406	5852.281264	3306.424615	7366.454555	214.1557256	7067.249443	513.1344746	1913.212588	284.6634142	1487.528035	18741.4815	389.4769751	3457.139611	2731.381299	8358.447875	302.4656194	3721.954922	66.34754458	1292.152283	631.9555047	5633.072064	7576.765539	1413.222377	7056.97026	5699.865075	4661.694031	143.1934843	4363.535181	628.7320701	1401.578746	238.5764805	905.7080155	589.0341089	4111.892224	3660.801188	4229.950058	942.6647422	4508.088192	1860.169994	1024.659753	320.5479785	8346.08381	10528.05351	469.7137585	4271.208429	3343.173696	8185.440869	610.8691391	4078.388091	1311.896503
miRNA_00003	740.5872549	1030.961165	1089.379384	1016.240159	1033.038257	1471.46077	1577.606156	1558.432684	687.2846631	987.9654106	971.1063741	1259.153551	2090.264396	1271.524481	1244.676659	925.8274233	231.4935866	1926.366941	219.6248925	805.5724107	243.4047813	2092.065387	0.440336568	646.8407317	3222.956263	683.7335415	613.1214674	942.8095813	991.0661634	588.708597	747.8550771	315.2319719	2214.751958	0.127758695	1032.392409	728.7036501	1090.707953	916.5865907	403.6862322	687.2930216	428.7121428	1114.133882	0.283410444	448.9316747	1900.190639	482.4480189	320.4212278	749.6888013	797.9304305	447.5557988	859.7440327	298.9975421	2292.084752	32.01762628	843.9023772	972.1890899	691.2364891	885.9767086	1024.372799	961.7434472	425.309135	1037.863949	360.8294267	2625.125805	0.73854244	673.9858613	662.4811461	1087.014559	1038.13177	886.2596974	1321.419643	990.8060445	294.7440477	1000.828991	16.08221527	1153.402892	2353.638875	570.3022108	1024.420381	1127.491786	683.0563878	606.9092447	881.4810687	233.4905183
miRNA_00004	15.9042151	42.55543748	23.86198098	2971.975562	692.6508096	1192.852235	11.83751858	15.24835518	11.60288214	54.15856021	2.613684861	600.2353618	19.52217262	107.4036872	46.35311275	10750.10352	1564.737198	7243.714404	3010.6127	11808.72163	3090.927299	5644.145908	220.5666796	15.82488002	14.11699336	10038.39887	1183.977045	1004.797075	27.05767337	8089.567581	52.38010503	3075.361197	9188.498301	113.8287261	174.0592352	614.4169287	311.1434015	14.52092986	572.6665777	15.13982949	2980.485675	9146.224936	138.5031978	1702.79628	5893.624566	8788.648062	1073.96625	2085.103704	16.02770492	5902.775409	64.30388919	2778.509432	6720.507846	127.2788906	109.4145765	3945.936805	6067.099374	1423.282856	289.567867	19.81718484	4062.222927	188.0087225	2709.5962	9026.990054	205.6953081	1856.016264	5401.163117	1469.632289	5109.32721	20.25873549	131.941643	83.18269466	3647.522351	5519.94348	128.6835472	2073.00713	6014.113036	3561.69686	1603.09887	5422.079949	36.11819121	7823.210249	179.1576307	1628.18756
miRNA_00005	142.9754064	449.4737674	427.2529734	160.0550409	118.4422342	209.5891192	149.1657083	189.7993906	186.3990188	275.6630899	333.0801774	165.985354	100.0297728	315.7355413	161.9935732	239.5619631	57.83498512	206.5477673	43.75091477	215.5277895	50.18271	237.984199	70.77086156	138.9817182	319.8785446	107.5117136	105.591449	230.9190873	354.7819726	81.51080202	238.8097955	66.88416988	280.3291818	73.94357952	128.2421731	149.4384184	291.8247262	484.7259668	66.50066806	216.9083429	179.0037941	302.206381	70.51561627	96.49986965	304.5949497	66.90635298	87.0086437	275.3908558	117.9143038	65.63666378	286.1541611	73.02945964	220.3257226	75.80641388	202.3388397	157.1040376	73.0570456	213.5495421	241.570661	355.2957156	47.87076571	355.5261552	83.05290314	254.9264984	94.12042256	150.540559	67.28988701	180.4334853	315.1591906	324.2489602	349.8783205	214.1726969	98.63306543	237.0743652	61.64155565	182.8512805	274.0494265	62.86252398	205.048131	378.1992725	283.3734842	65.14892677	287.8991794	59.63983822
miRNA_00006	0.007128047	1.508846877	0.106438859	0.004471238	0.00552756	0.339455408	0.001547411	0.006260981	0.007454357	0.187713634	0.00906812	0.004174005	0.352060322	0.251718085	0.281713039	0.164691243	0.733457849	0.203783589	0.709294205	0.346418689	0.864905744	0.140164472	0.128588879	0.274862282	0.008761729	234.4357324	0.404229087	0.851548526	0.030587197	1856.651054	0.091017046	0.051224509	1.560033633	0.106272942	786.0453796	0.007943435	0.852081248	0.019994803	4.750924215	0.059683225	0.017730109	0.214381912	0.167114404	0.006823206	0.019143206	162.7703151	0.096080797	15.62345589	0.044180415	0.168447673	0.11394836	0.354553161	0.173815219	1.582293605	0.01710384	0.030589067	209.300627	0.004630474	0.982815502	0.055544212	10.87880807	1.055301106	0.056345852	0.188268916	0.407200185	0.014859207	118.4893451	0.009876055	60.09969901	0.039229265	4.355170819	0.138390097	0.932468043	0.208392309	1.733889036	0.053651564	0.624874837	153.9170323	0.015263682	70.45701098	1.371651867	4.794671101	1.593047115	0.03540692
miRNA_00007	14451.00156	46223.26747	33984.50303	4441.244937	3826.937219	5542.071084	4385.007608	6036.57758	6716.496672	3619.412552	6474.953359	3444.946688	5599.587728	4639.707894	6182.743764	15196.4437	8599.667982	36371.00309	7975.045971	14082.94635	7114.840245	33209.46201	12701.14652	10295.81711	30040.94259	8989.983755	5336.029279	43205.98183	9546.51375	5761.245066	26029.37694	4530.393503	12666.20003	11904.88919	24601.34015	8309.252662	58582.69616	12180.80987	4831.733714	11915.38357	5306.691717	30728.00249	8388.144037	8115.785361	19458.85803	6160.288638	2189.071593	32780.67426	10394.66327	5255.243518	24563.33912	10109.9631	26881.16534	9702.171844	6706.502381	21205.5488	13355.71052	8244.509723	23761.55985	9543.243652	3724.108611	18978.79798	2843.391233	29937.30125	9271.434066	9093.831558	5829.881781	4465.044099	28857.92704	6269.762078	9774.922225	11689.392	6181.932431	25837.89905	7860.125612	15625.93049	13661.91766	5451.329256	5212.557881	35809.46759	7577.730986	6091.325721	14209.85792	3633.061971
miRNA_00008	7330.144751	8798.833135	7549.288339	3792.727069	3992.738425	4864.198769	4401.286484	6019.369746	7740.209633	3391.494845	5054.895345	5804.762798	5045.760901	5037.589023	4529.491125	3471.654611	3433.525206	3236.328044	3965.610019	2910.781632	3691.577817	3182.451618	2156.774039	3443.376652	16149.83594	2737.023066	5539.429431	6717.455613	9992.103548	8.36440054	9442.043314	3620.653455	2873.540625	1272.110279	2843.494861	2388.363124	8099.633445	8581.479232	880.7874034	6612.612357	1034.818452	3931.120908	1635.365065	5655.475635	7547.067283	1939.259208	1857.275151	5550.44439	7170.02462	766.0028598	7416.067877	4443.661038	3143.703392	1745.46894	5060.234731	10073.49949	3052.491174	2733.001011	6800.427709	9061.856772	716.4840355	6089.289795	1803.997252	3485.520367	2096.301652	6838.835069	2451.461389	3262.207823	7914.961372	8772.589621	3371.544158	8945.496958	1465.188264	3135.341502	1497.966503	12576.16096	10332.6603	2230.314874	3076.377538	7594.683465	6332.259258	1117.792243	5487.301936	1761.56021
miRNA_00009	10.82105471	322.6946401	19.87089857	2.942756373	4.812187817	28.03189848	3.34364888	3.996353012	4.952789709	51.94873976	2946.429825	7110.238331	7074.483568	7575.918365	3541.596351	5.182092573	8.125009484	3.55933589	11.99024655	5.850597727	3.152781529	2.786939079	6.107364198	59.49699635	27109.58272	16.10651713	4159.67712	0.916447441	9.870833291	1248.739457	9.608768646	6.292447162	26.85877334	2.896635179	6560.970416	4454.634584	2.562527612	7.100817674	1736.450582	12.82445375	6.028570614	6.620279491	3.804799923	37.78161602	192.8998785	5.773481549	3211.571254	8.966250485	6.551455966	1208.499603	12.08572669	3.584158857	5.016735441	8.121882812	11829.70462	11359.42913	6.827231223	15.5176029	2.421548405	8.566902927	900.9638659	66.54640784	3.363763835	7.1758745	5.303425263	7677.149735	16.57977501	6818.851062	30.72909834	9.825529164	49.63726204	30.10332898	19.48025076	4.896591915	8.608817719	11294.08644	26305.63183	9.113383221	6847.71819	25.49635448	30.62704258	1497.457318	84.50451069	4.878610462
miRNA_00010	7671.211043	17656.39509	17510.02667	4995.047282	5844.604352	7259.036712	5717.757657	6040.839882	9950.969009	5430.784209	2143.640416	2064.564544	699.1460796	1609.763682	1957.26815	5200.400825	1910.578311	4671.535642	2286.575714	4063.196915	4196.957837	4131.847092	4973.306531	6010.3396	1107.284738	2977.990824	1489.484374	6036.854633	6434.439759	0.527839634	5061.420858	7108.498692	4682.011014	2604.211954	546.0483995	872.7256517	5842.181037	7939.005136	55.08754222	5767.046643	2905.209134	5790.054425	4048.872472	10195.51014	21697.60545	2063.446303	457.9682718	4300.669342	5808.219673	63.53922046	6311.944654	2252.645207	4841.408002	4694.600353	2044.414086	1175.498186	3183.498946	4797.864662	6754.201614	7186.999882	110.8589331	6838.738964	4454.30038	5405.628862	3654.606801	606.3289346	2494.945204	960.0238582	6173.997604	6465.288018	994.410384	6587.618542	3766.368523	4879.022748	3346.742324	1435.019521	1070.355641	2385.144115	1153.428982	6113.832701	5587.730886	93.52655975	6087.51881	5323.630471
