Chr	Start	End
chr1	0	166127637
chr2	0	141988963
chr3	0	126237739
chr4	0	126056109
chr5	0	123892102
chr6	0	122077829
chr7	0	119646451
chr8	0	113730230
chr9	0	109896469
chr10	0	108822919
chr11	0	105823717
chr12	0	100628307
chr13	0	88903737
chr14	0	88844055
chr15	0	85405086
chr16	0	71349939
chr17	0	82450363
chr18	0	85807409
chr19	0	76089004
chr20	0	73328338
chr21	0	66898901
chr22	0	65692600
chr23	0	63789452
chr24	0	63144636
chr25	0	53916268
chr26	0	50515283
chr27	0	46638080
chr28	0	45602044
chrX	0	153110038
chrY	0	27398322
